timestamps population node_ids
1.4500000000999969 column 516
6.450000000100057 column 516
11.475000000099882 column 516
16.500000000099593 column 516
21.52500000009931 column 516
26.52500000009903 column 516
31.52500000009875 column 516
36.52500000009975 column 516
41.52500000010088 column 516
46.525000000102025 column 516
1.125000000099998 column 285
6.125000000100052 column 285
11.150000000099899 column 285
16.150000000099617 column 285
21.15000000009933 column 285
26.15000000009905 column 285
31.150000000098768 column 285
36.15000000009965 column 285
41.150000000100796 column 285
46.150000000101926 column 285
