timestamps population node_ids
0.2000000001 column 90
20.075000000099397 column 180
25.07500000009911 column 180
35.50000000009951 column 85
30.32500000009881 column 90
35.32500000009947 column 90
30.15000000009882 column 138
35.15000000009943 column 138
30.4750000000988 column 152
35.475000000099506 column 152
30.075000000098825 column 175
35.075000000099415 column 175
30.67500000009879 column 179
30.075000000098825 column 180
35.075000000099415 column 180
40.82500000010072 column 85
40.32500000010061 column 90
45.30000000010174 column 90
40.15000000010057 column 138
45.150000000101706 column 138
40.47500000010064 column 152
45.47500000010178 column 152
40.07500000010055 column 175
45.07500000010169 column 175
25.07500000009911 column 175
40.07500000010055 column 180
20.075000000099397 column 175
20.47500000009937 column 152
5.20000000010004 column 90
0.1250000000999999 column 138
5.125000000100039 column 138
0.4500000001000002 column 152
5.450000000100044 column 152
0.0750000000999999 column 175
5.075000000100038 column 175
0.0750000000999999 column 180
5.075000000100038 column 180
10.250000000099952 column 90
15.275000000099666 column 90
10.12500000009996 column 138
15.150000000099674 column 138
10.45000000009994 column 152
15.475000000099657 column 152
10.075000000099962 column 175
15.075000000099678 column 175
10.075000000099962 column 180
15.075000000099678 column 180
20.30000000009938 column 90
25.32500000009909 column 90
20.15000000009939 column 138
25.150000000099105 column 138
25.475000000099087 column 152
45.07500000010169 column 180
