timestamps population node_ids
1.4750000000999968 column 447
6.475000000100057 column 447
11.500000000099881 column 447
16.525000000099595 column 447
21.52500000009931 column 447
26.52500000009903 column 447
31.52500000009875 column 447
36.52500000009975 column 447
41.52500000010088 column 447
46.525000000102025 column 447
1.5750000000999964 column 932
6.57500000010006 column 932
11.600000000099875 column 932
16.60000000009959 column 932
21.625000000099305 column 932
26.62500000009902 column 932
31.625000000098733 column 932
36.625000000099774 column 932
41.6250000001009 column 932
46.62500000010204 column 932
1.100000000099998 column 885
6.100000000100052 column 885
11.100000000099904 column 885
16.10000000009962 column 885
21.10000000009933 column 885
26.100000000099048 column 885
31.100000000098767 column 885
36.10000000009965 column 885
41.10000000010079 column 885
46.10000000010192 column 885
