timestamps population node_ids
0.0750000000999999 column 48
30.100000000098824 column 115
35.250000000099455 column 95
30.25000000009881 column 95
35.300000000099466 column 83
30.30000000009881 column 83
35.32500000009947 column 70
35.10000000009942 column 115
35.10000000009942 column 48
25.100000000099108 column 195
20.100000000099392 column 195
25.2500000000991 column 159
25.05000000009911 column 127
20.050000000099395 column 127
25.100000000099108 column 115
30.100000000098824 column 48
30.050000000098827 column 127
35.05000000009941 column 127
35.250000000099455 column 159
45.25000000010173 column 159
45.05000000010168 column 127
40.05000000010055 column 127
45.100000000101694 column 115
40.10000000010056 column 115
45.25000000010173 column 95
40.25000000010059 column 95
45.30000000010174 column 83
40.3000000001006 column 83
45.30000000010174 column 70
45.100000000101694 column 48
40.10000000010056 column 48
35.10000000009942 column 195
30.075000000098825 column 195
30.5750000000988 column 166
20.100000000099392 column 115
25.2500000000991 column 95
20.250000000099384 column 95
25.300000000099097 column 83
5.075000000100038 column 195
0.0750000000999999 column 195
5.250000000100041 column 159
0.2250000001 column 159
5.050000000100038 column 127
0.0500000001 column 127
5.100000000100039 column 115
0.0750000000999999 column 115
5.250000000100041 column 95
0.2750000001000001 column 95
5.275000000100041 column 83
0.3000000001000001 column 83
5.400000000100043 column 70
0.2500000001 column 70
5.075000000100038 column 48
10.075000000099962 column 48
40.10000000010056 column 195
15.100000000099676 column 48
10.30000000009995 column 83
20.30000000009938 column 83
25.32500000009909 column 70
25.100000000099108 column 48
20.100000000099392 column 48
25.350000000099094 column 6
15.075000000099678 column 195
10.075000000099962 column 195
15.22500000009967 column 159
15.05000000009968 column 127
10.050000000099963 column 127
15.100000000099676 column 115
10.10000000009996 column 115
15.250000000099668 column 95
10.250000000099952 column 95
15.300000000099663 column 83
15.275000000099666 column 70
45.100000000101694 column 195
