edge_type_id target_query source_query distance_range target_sections dynamics_params syn_weight delay model_template
137 node_type_id=='313861608' * "[0.0, 1e+20]" "[""somatic"", ""basal""]" AMPA_ExcToInh.json 8.47346785379e-10 1.7 exp2syn
138 node_type_id=='321023397' * "[0.0, 1e+20]" "[""somatic"", ""basal""]" AMPA_ExcToInh.json 1.7484873836199999e-10 1.7 exp2syn
139 node_type_id=='330080937' * "[0.0, 1e+20]" "[""somatic"", ""basal""]" AMPA_ExcToInh.json 4.6061197338199996e-10 1.7 exp2syn
140 node_type_id=='333785962' * "[0.0, 1e+20]" "[""somatic"", ""basal""]" AMPA_ExcToInh.json 1.01433569258e-09 1.7 exp2syn
141 node_type_id=='396608557' * "[0.0, 1e+20]" "[""somatic"", ""basal""]" AMPA_ExcToInh.json 1.3963791926e-10 1.7 exp2syn
142 node_type_id=='469610831' * "[0.0, 1e+20]" "[""somatic"", ""basal""]" AMPA_ExcToInh.json 3.70935200116e-11 1.7 exp2syn
143 node_type_id=='471077857' * "[0.0, 1e+20]" "[""somatic"", ""basal""]" AMPA_ExcToInh.json 5.931771095459998e-10 1.7 exp2syn
144 node_type_id=='471085676' * "[0.0, 1e+20]" "[""somatic"", ""basal""]" AMPA_ExcToInh.json 8.13389673429e-12 1.7 exp2syn
145 node_type_id=='478793814' * "[0.0, 1e+20]" "[""somatic"", ""basal""]" AMPA_ExcToInh.json 1.22243297143e-10 1.7 exp2syn
146 node_type_id=='482516713' * "[0.0, 1e+20]" "[""somatic"", ""basal""]" AMPA_ExcToInh.json 8.905354866010001e-10 1.7 exp2syn
147 node_type_id=='484742372' * "[0.0, 1e+20]" "[""somatic"", ""basal""]" AMPA_ExcToInh.json 4.4983153779100003e-10 1.7 exp2syn
148 node_type_id=='486783119' * "[0.0, 1e+20]" "[""somatic"", ""basal""]" AMPA_ExcToInh.json 1.0867135272399999e-10 1.7 exp2syn
149 node_type_id=='318331342' * "[0.0, 1e+20]" "[""somatic"", ""basal""]" AMPA_ExcToInh.json 9.34955530842e-05 1.7 exp2syn
150 node_type_id=='333604946' * "[0.0, 1e+20]" "[""somatic"", ""basal""]" AMPA_ExcToInh.json 0.000108033596414 1.7 exp2syn
151 node_type_id=='487667205' * "[0.0, 1e+20]" "[""somatic"", ""basal""]" AMPA_ExcToInh.json 2.37657238044e-05 1.7 exp2syn
152 node_type_id=='314642645' * "[0.0, 150.0]" "[""basal"", ""apical""]" AMPA_ExcToExc.json 9.12610832095e-08 1.7 exp2syn
153 node_type_id=='324025371' * "[0.0, 150.0]" "[""basal"", ""apical""]" AMPA_ExcToExc.json 2.33252407454e-07 1.7 exp2syn
154 node_type_id=='329550137' * "[0.0, 150.0]" "[""basal"", ""apical""]" AMPA_ExcToExc.json 3.26294632394e-07 1.7 exp2syn
155 node_type_id=='473020156' * "[0.0, 150.0]" "[""basal"", ""apical""]" AMPA_ExcToExc.json 2.35659688567e-07 1.7 exp2syn
156 node_type_id=='476616076' * "[0.0, 150.0]" "[""basal"", ""apical""]" AMPA_ExcToExc.json 1.1759330164200001e-07 1.7 exp2syn
157 node_type_id=='479179020' * "[0.0, 150.0]" "[""basal"", ""apical""]" AMPA_ExcToExc.json 2.59048905485e-07 1.7 exp2syn
158 node_type_id=='480087928' * "[0.0, 150.0]" "[""basal"", ""apical""]" AMPA_ExcToExc.json 1.23906491177e-07 1.7 exp2syn
159 node_type_id=='480124551' * "[0.0, 150.0]" "[""basal"", ""apical""]" AMPA_ExcToExc.json 1.69043404589e-07 1.7 exp2syn
160 node_type_id=='484564503' * "[0.0, 150.0]" "[""basal"", ""apical""]" AMPA_ExcToExc.json 4.06974373835e-05 1.7 exp2syn
161 node_type_id=='484679812' * "[0.0, 150.0]" "[""basal"", ""apical""]" AMPA_ExcToExc.json 1.50521115117e-07 1.7 exp2syn
162 node_type_id=='485836906' * "[0.0, 150.0]" "[""basal"", ""apical""]" AMPA_ExcToExc.json 5.96221643336e-08 1.7 exp2syn
