edge_type_id target_query source_query weight_sigma distance_range weight_function target_sections dynamics_params syn_weight delay model_template
142 node_type_id=='471129934' pop_name=='e5Rbp4' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.00248793156534 1.5 exp2syn
143 node_type_id=='471143169' pop_name=='e5Rbp4' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.00105928050119 1.5 exp2syn
144 node_type_id=='471758398' pop_name=='e5Rbp4' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.00148324896992 1.5 exp2syn
145 node_type_id=='471767045' pop_name=='e5Rbp4' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.0018948621084400002 1.5 exp2syn
146 node_type_id=='485574832' pop_name=='e5Rbp4' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.00199590108844 1.5 exp2syn
147 node_type_id=='485835055' pop_name=='e5Rbp4' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.0015455955545699998 1.5 exp2syn
148 node_type_id=='485880739' pop_name=='e5Rbp4' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.0018438204056700001 1.5 exp2syn
149 node_type_id=='486052980' pop_name=='e5Rbp4' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.0021445250363 1.5 exp2syn
150 node_type_id=='486110216' pop_name=='e5Rbp4' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.0016442408136899999 1.5 exp2syn
151 node_type_id=='487664663' pop_name=='e5Rbp4' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.00213561632747 1.5 exp2syn
152 node_type_id=='471129934' pop_name=='e23Cux2' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.0012266923638099999 1.8 exp2syn
153 node_type_id=='471143169' pop_name=='e23Cux2' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000522398673419 1.8 exp2syn
154 node_type_id=='471758398' pop_name=='e23Cux2' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.0007314280549 1.8 exp2syn
155 node_type_id=='471767045' pop_name=='e23Cux2' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000934646421982 1.8 exp2syn
156 node_type_id=='485574832' pop_name=='e23Cux2' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.00098441798224 1.8 exp2syn
157 node_type_id=='485835055' pop_name=='e23Cux2' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.0007623689847100001 1.8 exp2syn
158 node_type_id=='485880739' pop_name=='e23Cux2' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000909396317645 1.8 exp2syn
159 node_type_id=='486052980' pop_name=='e23Cux2' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.00105769394567 1.8 exp2syn
160 node_type_id=='486110216' pop_name=='e23Cux2' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000810966625951 1.8 exp2syn
161 node_type_id=='487664663' pop_name=='e23Cux2' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.00105293410472 1.8 exp2syn
162 node_type_id=='471129934' pop_name=='i6Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.0005409114246649999 0.9 exp2syn
163 node_type_id=='471143169' pop_name=='i6Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 6.98717883595e-05 0.9 exp2syn
164 node_type_id=='471758398' pop_name=='i6Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.00031339589704 0.9 exp2syn
165 node_type_id=='471767045' pop_name=='i6Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.00016840459746299998 0.9 exp2syn
166 node_type_id=='485574832' pop_name=='i6Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.000153546341004 0.9 exp2syn
167 node_type_id=='485835055' pop_name=='i6Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 9.273891577200001e-05 0.9 exp2syn
168 node_type_id=='485880739' pop_name=='i6Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.000156540181299 0.9 exp2syn
169 node_type_id=='486052980' pop_name=='i6Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.00029428934158 0.9 exp2syn
170 node_type_id=='486110216' pop_name=='i6Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.000736681634855 0.9 exp2syn
