node_type_id location pop_name population morphology model_type ei model_processing model_template dynamics_params
473020156 VisL4 e4Rorb v1 Rorb-IRES2-Cre-D_Ai14-181710.05.02.01_491771275_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 473020156_fit.json
476616076 VisL4 e4Rorb v1 Rorb-IRES2-Cre-D_Ai14-188712.05.02.01_495889950_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 476616076_fit.json
479179020 VisL4 e4Rorb v1 Rorb-IRES2-Cre-D_Ai14-194017.03.01.01_491770945_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 479179020_fit.json
480087928 VisL4 e4Rorb v1 Rorb-IRES2-Cre-D_Ai14-197330.06.01.01_491770970_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 480087928_fit.json
480124551 VisL4 e4Rorb v1 Rorb-IRES2-Cre-D_Ai14-197352.06.01.01_491253869_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 480124551_fit.json
484679812 VisL4 e4Rorb v1 Rorb-IRES2-Cre-D_Ai14-201967.03.01.01_496123870_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 484679812_fit.json
485836906 VisL4 e4Rorb v1 Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 485836906_fit.json
486502127 VisL4 e4Rorb v1 Rorb-IRES2-Cre-D_Ai14-206927.04.01.01_496253700_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 486502127_fit.json
100000104 VisL4 LIFe4Scnn1a v1  point_process e  nrn:IntFire1 e4Scnn1a_avg_lif.json
314900022 VisL4 e4Scnn1a v1 Scnn1a-Tg3-Cre_Ai14-168093.03.01.01_491770152_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 314900022_fit.json
348592897 VisL4 e4Scnn1a v1 Scnn1a-Tg2-Cre_Ai14-176958.04.01.01_491771013_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 348592897_fit.json
395830185 VisL4 e4Scnn1a v1 Scnn1a-Tg3-Cre_Ai14-177300.01.02.01_491771068_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 395830185_fit.json
469798159 VisL4 e4Scnn1a v1 Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 469798159_fit.json
476126528 VisL4 e4Scnn1a v1 Scnn1a-Tg3-Cre_Ai14-187849.05.02.01_491119823_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 476126528_fit.json
476218657 VisL4 e4Scnn1a v1 Scnn1a-Tg3-Cre_Ai14_IVSCC_-187852.04.02.01_484775243_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 476218657_fit.json
100000110 VisL4 LIFe4other v1  point_process e  nrn:IntFire1 e4other_avg_lif.json
477135941 VisL4 e4other v1 Slc17a6-IRES-Cre_Ai14-190263.06.01.01_491771398_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 477135941_fit.json
483061182 VisL4 e4other v1 Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 483061182_fit.json
485909730 VisL4 e4other v1 Cux2-CreERT2_Ai14-205530.03.02.01_500961528_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 485909730_fit.json
486146717 VisL4 e4other v1 Cux2-CreERT2_Ai14-205221.03.01.01_500961566_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 486146717_fit.json
487601493 VisL4 e4other v1 Cux2-CreERT2_Ai14-211771.03.01.01_496123846_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 487601493_fit.json
100000114 VisL4 LIFi4Htr3a v1  point_process i  nrn:IntFire1 i4Htr3a_avg_lif.json
474626527 VisL4 i4Htr3a v1 Htr3a-Cre_NO152_Ai14-182004.05.02.01_491120373_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 474626527_fit.json
100000112 VisL4 LIFi4Pvalb v1  point_process i  nrn:IntFire1 i4Pvalb_avg_lif.json
333604946 VisL4 i4Pvalb v1 Pvalb-IRES-Cre_Ai14-176848.03.01.01_491119484_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 333604946_fit.json
487667205 VisL4 i4Pvalb v1 Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 487667205_fit.json
100000115 VisL4 LIFi4Sst v1  point_process i  nrn:IntFire1 i4Sst_avg_lif.json
313862167 VisL4 i4Sst v1 Sst-IRES-Cre_Ai14-167638.05.02.01_501934125_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 313862167_fit.json
473016550 VisL4 i4Sst v1 Sst-IRES-Cre_Ai14-181378.05.01.01_491120060_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 473016550_fit.json
100000101 VisL5 LIFe5Rbp4 v1  point_process e  nrn:IntFire1 e5Rbp4_avg_lif.json
471129934 VisL5 e5Rbp4 v1 Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 471129934_fit.json
471143169 VisL5 e5Rbp4 v1 Rbp4-Cre_KL100_Ai14-180747.06.02.01_492413283_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 471143169_fit.json
471758398 VisL5 e5Rbp4 v1 Rbp4-Cre_KL100_Ai14-180748.06.01.01_495335436_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 471758398_fit.json
471767045 VisL5 e5Rbp4 v1 Rbp4-Cre_KL100_Ai14-180748.02.02.01_491771193_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 471767045_fit.json
485574832 VisL5 e5Rbp4 v1 Rbp4-Cre_KL100_Ai14-203498.04.02.01_496001061_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 485574832_fit.json
485835055 VisL5 e5Rbp4 v1 Rbp4-Cre_KL100_Ai14-204744.04.01.01_496123897_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 485835055_fit.json
485880739 VisL5 e5Rbp4 v1 Rbp4-Cre_KL100_Ai14-204745.05.01.01_496001050_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 485880739_fit.json
486052980 VisL5 e5Rbp4 v1 Rbp4-Cre_KL100_Ai14-205726.03.02.01_496001094_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 486052980_fit.json
486110216 VisL5 e5Rbp4 v1 Rbp4-Cre_KL100_Ai14-205727.04.02.01_496085260_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 486110216_fit.json
487664663 VisL5 e5Rbp4 v1 Rbp4-Cre_KL100_Ai14-211531.03.01.01_496085294_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 487664663_fit.json
100000119 VisL5 LIFe5noRbp4 v1  point_process e  nrn:IntFire1 e5noRbp4_avg_lif.json
314804042 VisL5 e5noRbp4 v1 Rorb-IRES2-Cre-D_Ai14-168053.05.01.01_491392788_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 314804042_fit.json
314831019 VisL5 e5noRbp4 v1 Scnn1a-Tg3-Cre_Ai14-168093.03.02.01_491119592_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 314831019_fit.json
320207387 VisL5 e5noRbp4 v1 Scnn1a-Tg3-Cre_Ai14-170426.03.01.01_491392845_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 320207387_fit.json
323865917 VisL5 e5noRbp4 v1 Scnn1a-Tg3-Cre_Ai14-172530.06.01.01_492413272_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 323865917_fit.json
324025297 VisL5 e5noRbp4 v1 Rorb-IRES2-Cre-D_Ai14-172651.04.01.01_491458287_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 324025297_fit.json
349621141 VisL5 e5noRbp4 v1 Scnn1a-Tg2-Cre_Ai14-176961.06.02.01_491253847_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 349621141_fit.json
354190013 VisL5 e5noRbp4 v1 Scnn1a-Tg2-Cre_Ai14-176962.05.01.01_495335447_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 354190013_fit.json
