node_type_id model_processing pop_name dynamics_params potental model_template model_type morphology
100 aibs_perisomatic Scnn1a 472363762_fit.json exc ctdb:Biophys1.hoc biophysical Scnn1a_473845048_m.swc
101 aibs_perisomatic Scnn1a 472363762_fit.json exc ctdb:Biophys1.hoc biophysical Scnn1a_473845048_m.swc
