node_type_id ei model_template dynamics_params pop_name model_type
100 e nestml:custom_izh_neuron_nestml iaf_psc_delta_exc.json LIF_exc point_neuron
101 i nestml:custom_izh_neuron_nestml iaf_psc_delta_inh.json LIF_inh point_neuron
