timestamps population node_ids
1.2500000000999976 column 84
6.300000000100058 column 84
1.7000000000999957 column 108
6.7000000001000615 column 108
1.4750000000999968 column 240
6.475000000100057 column 240
1.0500000000999985 column 288
6.050000000100052 column 288
6.475000000100057 column 288
1.400000000099997 column 372
6.400000000100057 column 372
1.3750000000999971 column 396
6.375000000100057 column 396
1.3750000000999971 column 564
6.375000000100057 column 564
1.2750000000999977 column 588
6.2750000001000545 column 588
1.3750000000999971 column 864
6.3500000001000565 column 864
16.225000000099612 column 84
11.525000000099881 column 240
16.550000000099594 column 240
11.05000000009991 column 288
11.450000000099886 column 288
16.050000000099622 column 288
16.4500000000996 column 288
11.400000000099888 column 372
16.400000000099602 column 372
11.375000000099888 column 396
16.400000000099602 column 396
11.375000000099888 column 564
16.400000000099602 column 564
11.275000000099896 column 588
16.27500000009961 column 588
11.35000000009989 column 864
16.375000000099607 column 864
26.25000000009905 column 84
21.60000000009931 column 240
26.600000000099026 column 240
21.050000000099338 column 288
26.05000000009905 column 288
21.400000000099322 column 372
26.400000000099034 column 372
21.400000000099322 column 396
26.400000000099034 column 396
21.7250000000993 column 504
26.700000000099017 column 504
21.400000000099322 column 564
26.400000000099034 column 564
21.275000000099325 column 588
26.275000000099038 column 588
21.37500000009932 column 864
26.375000000099035 column 864
36.250000000099675 column 84
31.60000000009874 column 240
36.60000000009976 column 240
31.050000000098766 column 288
36.05000000009964 column 288
31.40000000009875 column 372
36.40000000009972 column 372
31.40000000009875 column 396
36.40000000009972 column 396
36.65000000009977 column 504
31.40000000009875 column 564
36.40000000009972 column 564
31.275000000098764 column 588
36.27500000009969 column 588
31.375000000098748 column 864
36.37500000009971 column 864
46.250000000101956 column 84
41.6000000001009 column 240
46.60000000010204 column 240
41.05000000010077 column 288
46.05000000010191 column 288
41.40000000010085 column 372
46.400000000102 column 372
41.40000000010085 column 396
46.400000000102 column 396
46.825000000102094 column 504
41.40000000010085 column 564
46.400000000102 column 564
41.275000000100825 column 588
46.275000000101954 column 588
41.375000000100854 column 864
46.37500000010198 column 864
56.25000000010423 column 84
51.600000000103165 column 240
56.600000000104316 column 240
51.05000000010305 column 288
56.05000000010418 column 288
51.400000000103134 column 372
56.40000000010426 column 372
51.400000000103134 column 396
56.40000000010426 column 396
56.75000000010434 column 504
51.400000000103134 column 564
56.40000000010426 column 564
51.2750000001031 column 588
56.27500000010425 column 588
51.37500000010312 column 864
56.37500000010426 column 864
66.2500000001065 column 84
61.60000000010546 column 240
66.60000000010658 column 240
61.05000000010532 column 288
66.05000000010645 column 288
61.4000000001054 column 372
66.40000000010653 column 372
61.4000000001054 column 396
66.40000000010653 column 396
66.77500000010662 column 504
61.4000000001054 column 564
66.40000000010653 column 564
61.27500000010537 column 588
66.2750000001065 column 588
61.3750000001054 column 864
66.37500000010652 column 864
76.25000000010877 column 84
71.6000000001077 column 240
76.57500000010884 column 240
71.05000000010759 column 288
76.05000000010872 column 288
71.40000000010767 column 372
76.40000000010879 column 372
71.40000000010767 column 396
76.40000000010879 column 396
76.75000000010887 column 504
71.40000000010767 column 564
76.40000000010879 column 564
71.27500000010764 column 588
76.27500000010879 column 588
71.37500000010766 column 864
76.3750000001088 column 864
86.22500000011105 column 84
81.57500000010998 column 240
86.57500000011112 column 240
81.05000000010986 column 288
86.05000000011101 column 288
81.40000000010994 column 372
86.40000000011108 column 372
81.40000000010994 column 396
86.40000000011108 column 396
86.75000000011116 column 504
81.40000000010994 column 564
86.40000000011108 column 564
81.27500000010991 column 588
86.27500000011105 column 588
81.37500000010994 column 864
86.37500000011106 column 864
96.22500000011331 column 84
91.57500000011223 column 240
96.5750000001134 column 240
91.05000000011214 column 288
96.05000000011327 column 288
91.40000000011221 column 372
96.40000000011335 column 372
91.40000000011221 column 396
96.40000000011335 column 396
96.75000000011343 column 504
91.40000000011221 column 564
