% Model:              9.mph
% Version:            COMSOL 6.0.0.318
% Date:               Mar 28 2023, 15:47
% Dimension:          3
% Nodes:              41061
% Expressions:        1
% Description:        Electric potential
% Length unit:        µm
% x                       y                        z                        V (mV)
-160.67583180946937       313.99227205652124       -142.17869799082013      0.936800682663815
-158.00000000000003       314.00000000000017       -145.00000000000006      0.9399190989768818
-159.5411948049443        310.4486741400124        -144.99999999999997      0.9399190989608882
-163.23375218416135       314.0000000000001        -144.99999999999997      0.9399190983607457
-160.80702609816547       317.12982997792454       -144.99999999999997      0.9281286452289004
-144.00000000000003       286.00000000000017       -145.00000000000006      1.03120198917653
-146.40368212448325       282.9842702290749        -144.99999999999997      1.0379393564601003
-142                      284                      -145.00000000000006      1.0312019893640814
-146.070656374589         285.1875320636697        -141.83919502008467      1.0348390865762163
-148.67370318097892       285.4954045621962        -144.99999999999997      1.0236270952251922
-147.0262822172944        288.5940609760373        -144.99999999999997      1.0230977716828604
-153.71094476296932       282.74713179761045       -144.99999999999997      1.0051915624675696
-156.00000000000003       286.00000000000017       -145.00000000000006      0.9399191016175018
-156.87864015716735       282.00042271232445       -141.5369328012095       0.9989713200652175
-150.54028937640726       286.25793377375294       -141.06900667215845      1.0170440406538845
-156.39385073539697       278.7128642548888        -144.99999999999997      1.0142346276206842
-158.00000000000003       284.0000000000001        -145.00000000000006      0.9399191016086467
-161.54238841918075       278.01948712552013       -144.99999999999997      0.9997281594252846
-156.9787017375941        321.0096337699929        -140.50260042215845      0.9281985268065598
-156.00000000000003       312.0000000000001        -145.00000000000006      0.9399190992101895
-159.15820932175995       306.6164621599202        -140.4772126055396       0.9520459942347655
-154.7174836280066        314.6742171613706        -140.50260042215848      0.9527396807971581
-154.5768297791887        317.0506874350492        -144.99999999999997      0.9457984932609185
-151.35166101945347       313.61738430733624       -144.99999999999997      0.9660955631476447
-146.1092066168883        314.4923040027901        -144.99999999999997      0.9885297198293621
-148.7720507033282        319.2282078050387        -144.99999999999997      0.959229394822955
-144.626287218973         314.7628525430419        -141.30052167184422      0.9907826052930099
-144.00000000000003       312.0000000000001        -145.00000000000006      1.0312019861516444
-142                      314.00000000000017       -145.00000000000006      1.0312019861337065
-148.16482478893738       309.972345602204         -144.99999999999997      0.9904174713634746
-143.63122509940195       317.73815453587605       -144.99999999999997      0.9828261989819256
-138.99758372794426       318.79325254587104       -144.99999999999997      0.9872376499849403
-144.22415959594656       308.52613744431795       -140.58096809980796      1.008265383302959
-136.7662478158387        314.0000000000002        -145.00000000000009      1.0312019865050213
-140.07458356860664       313.2613250798076        -138.66675321519864      1.004765171224231
-140.1937188322137        310.15316134058963       -145.00000000000006      1.0312019866890476
-160.38200987292973       311.2255956582738        -135.97135042215842      0.9472087306451299
-175.99999999999997       258                      -144.99999999999997      1.061440578643886
-174.00000000000003       260                      -144.99999999999997      1.0614405786479806
-175.39085957739832       258.9557059350984        -142.19420061434698      1.0225727636025397
-171.5240666962821        255.51894994444996       -144.99999999999997      1.0614405796281436
-177.95445912512633       261.7360707424795        -144.99999999999997      0.990997301933092
-174.00000000000009       314.00000000000017       -144.99999999999997      0.9399190962742079
-176.00000000000006       312.0000000000001        -145.00000000000006      0.9399190961234902
-173.7673317998306        311.8662569138189        -139.89470795164183      0.9042298839296096
-177.1956060539556        316.7678380888708        -144.99999999999997      0.8690704055493929
-171.52434598836038       309.519062316943         -144.99999999999997      0.9399190973511155
-126.00000000000003       314.00000000000017       -145.00000000000006      1.0312019866352846
