% Model:              9.mph
% Version:            COMSOL 6.0.0.318
% Date:               Mar 11 2023, 23:34
% Dimension:          3
% Nodes:              40982
% Expressions:        1
% Description:        Electric potential
% Length unit:        µm
% x                       y                        z                        V (mV)
-6.000000000000072        178.0000000000001        4.999999999999963        40.06210365922254
-9.762365924686485        179.77010129940788       5                        40.062103642835865
-8.000000000000075        176.00000000000017       4.999999999999963        40.062103661146026
-8.28710989555618         181.30979572398508       9.566650390624982        40.77587928253762
-13.262281963165416       179.81820042917025       9.566650390625002        40.76489218241978
-6.000000000000076        182.96135976441698       4.999999999999963        40.06210363388157
-3.4876067236036623       181.56409715167797       8.96484374999998         40.99917938332646
25.99999999999996         178.0000000000001        4.999999999999963        41.277409947874
23.999999999999957        176.00000000000017       4.999999999999963        41.27740994726225
28.459230049895048        173.52446862978258       5                        42.6149896696619
26.29160412390771         176.02463381645393       8.486617737615717        42.26600335942946
22.23616110260593         179.77103632893312       5                        41.277409930922204
127.7875766684129         179.76632460296707       5                        45.201118272429504
125.99999999999994        176.00000000000017       4.999999999999963        45.20111827205404
128.92844555434309        179.7712281187526        7.805353243156414        45.1961764723028
123.99999999999993        178.0000000000001        4.999999999999963        45.201118271793135
-8.000000000000075        206.00000000000014       4.999999999999963        40.06210346280344
-6.000000000000077        204.00000000000017       4.999999999999963        40.06210347823499
-9.94058343384101         205.49237836965483       9.672851562499996        38.42906123091373
-9.541338664793136        202.4486999713869        5                        40.06210349503615
-13.233752184161428       206.00000000000014       5                        40.062103469195684
-9.020875668940285        210.910915625293         5                        36.20097538019889
-6.1222494949545165       201.86530476716115       8.823242187499979        39.375984913676575
-24.000000000000078       176.00000000000017       4.999999999999963        40.06210366910033
-22.212423331587203       179.76632460296693       5                        40.06210364575794
-22.703822907547316       176.93969830576978       10.543736441153056       41.27449087494317
-18.76624781583873        176.0000000000001        4.999999999999963        40.06210365687459
-26.000000000000078       178.0000000000001        4.999999999999963        40.062103664821215
-22.84958721371435        171.18932837997772       5                        41.74981345743945
-27.929429103335313       171.1111383841656        11.513671875000002       42.21558251039611
-26.700462735178142       183.38032868525067       10.026855468749998       40.97196658378051
-30.21439866570297        181.31343126970302       5                        41.23753195539627
-27.480111285429757       177.43193545590012       10.768260806526554       41.5445172709739
-27.70535362856556        174.0038647150942        5                        41.63249943110983
-32.15739856770252        177.0462034588183        5                        41.81944706654449
-26.00000000000007        204.00000000000017       4.999999999999963        40.06210347746394
-24.000000000000092       206.00000000000017       5                        40.06210346074123
-28.78062001143757        207.686806582527         10.8056640625            37.9490613136985
-27.262050079751234       203.1416030140032        10.72058057716995        39.03459528623443
-21.473659441533183       200.99205492459453       11.493195274645268       39.30844353510974
-21.526027971914807       201.52051522712256       5                        40.062103501628314
-27.72111540161447        208.08983934720032       5                        37.8618093511808
5.99999999999993          178.0000000000001        5                        41.27740992039002
7.999999999999971         176.0000000000001        5                        41.277409924646804
6.915677597022557         177.68587801582143       9.412691525473079        41.68154994127839
3.711095237996993         175.2663853540875        5                        41.7274590488474
9.775901650626224         179.76087749987124       5                        41.27740991546836
13.233752184161323        176.0000000000001        5                        41.27740992660476
5.0848470312431004        170.57138399007243       5                        42.188414494719844
12.633826291503285        173.01158442083417       11.065876177012175       42.21403911911214
1.9848758295597153        176.09905689620138       7.78559718569182         41.67611678621427
3.8564274868295425        182.1457894385242        8.686022668320053        41.34377994350451
5.999999999999931         182.9613597644169        5                        41.27740990527145
-8.588887731054697        173.98335892559433       10.735796921913414       41.55934904120658
-6.097169692691153        171.19119292426458       5                        41.780056127637714
-3.648175447286945        174.70080510810473       5                        41.411957579925236
