% Model:              9.mph
% Version:            COMSOL 6.0.0.318
% Date:               Mar 28 2023, 15:47
% Dimension:          3
% Nodes:              41061
% Expressions:        1
% Description:        Electric potential
% Length unit:        µm
% x                       y                        z                        V (mV)
-160.67583180946937       313.99227205652124       -142.17869799082013      0.37963274839588307
-158.00000000000003       314.00000000000017       -145.00000000000006      0.38517880526634135
-159.5411948049443        310.4486741400124        -144.99999999999997      0.38517880533003424
-163.23375218416135       314.0000000000001        -144.99999999999997      0.3851788050299571
-160.80702609816547       317.12982997792454       -144.99999999999997      0.3733533748075397
-144.00000000000003       286.00000000000017       -145.00000000000006      0.4383095064760961
-146.40368212448325       282.9842702290749        -144.99999999999997      0.4396417403012824
-142                      284                      -145.00000000000006      0.43830950659589163
-146.070656374589         285.1875320636697        -141.83919502008467      0.4381850808310256
-148.67370318097892       285.4954045621962        -144.99999999999997      0.43107481650847934
-147.0262822172944        288.5940609760373        -144.99999999999997      0.4317331604065738
-153.71094476296932       282.74713179761045       -144.99999999999997      0.41890649302971866
-156.00000000000003       286.00000000000017       -145.00000000000006      0.3851788078274149
-156.87864015716735       282.00042271232445       -141.5369328012095       0.4139402322103958
-150.54028937640726       286.25793377375294       -141.06900667215845      0.4266584870457902
-156.39385073539697       278.7128642548888        -144.99999999999997      0.42129577919097455
-158.00000000000003       284.0000000000001        -145.00000000000006      0.38517880780003605
-161.54238841918075       278.01948712552013       -144.99999999999997      0.41079611250000025
-156.9787017375941        321.0096337699929        -140.50260042215845      0.37118134814457354
-156.00000000000003       312.0000000000001        -145.00000000000006      0.3851788054037009
-159.15820932175995       306.6164621599202        -140.4772126055396       0.3889700433912716
-154.7174836280066        314.6742171613706        -140.50260042215848      0.38789246455557447
-154.5768297791887        317.0506874350492        -144.99999999999997      0.383819554136288
-151.35166101945347       313.61738430733624       -144.99999999999997      0.3969281562928651
-146.1092066168883        314.4923040027901        -144.99999999999997      0.41088237786201437
-148.7720507033282        319.2282078050387        -144.99999999999997      0.3919324594981965
-144.626287218973         314.7628525430419        -141.30052167184422      0.41229979711485515
-144.00000000000003       312.0000000000001        -145.00000000000006      0.4383095045808224
-142                      314.00000000000017       -145.00000000000006      0.4383095046220119
-148.16482478893738       309.972345602204         -144.99999999999997      0.4121959756782045
-143.63122509940195       317.73815453587605       -144.99999999999997      0.4076381688221452
-138.99758372794426       318.79325254587104       -144.99999999999997      0.4115889747524048
-144.22415959594656       308.52613744431795       -140.58096809980796      0.4232987540555164
-136.7662478158387        314.0000000000002        -145.00000000000009      0.43830950494204857
-140.07458356860664       313.2613250798076        -138.66675321519864      0.4216918352418004
-140.1937188322137        310.15316134058963       -145.00000000000006      0.4383095049194067
-160.38200987292973       311.2255956582738        -135.97135042215842      0.38262805730356203
-175.99999999999997       258                      -144.99999999999997      0.42274033646236575
-174.00000000000003       260                      -144.99999999999997      0.42274033648137577
-175.39085957739832       258.9557059350984        -142.19420061434698      0.40527938636942706
-171.5240666962821        255.51894994444996       -144.99999999999997      0.42274033691204455
-177.95445912512633       261.7360707424795        -144.99999999999997      0.38966120835868967
-174.00000000000009       314.00000000000017       -144.99999999999997      0.38517880409775
-176.00000000000006       312.0000000000001        -145.00000000000006      0.3851788040609571
-173.7673317998306        311.8662569138189        -139.89470795164183      0.357190738662535
-177.1956060539556        316.7678380888708        -144.99999999999997      0.3359310454400242
-171.52434598836038       309.519062316943         -144.99999999999997      0.38517880487056116
-126.00000000000003       314.00000000000017       -145.00000000000006      0.4383095051765161
-124.00000000000003       312.0000000000001        -145.00000000000006      0.4383095052306137
-121.52446352217781       315.60388761909775       -144.99999999999997      0.4246581088091004
-124.81928212578475       317.0910757292173        -141.45567018503618      0.4234121055754666
-129.72139602551994       311.8441931840972        -139.6988240186803       0.43397633788870194
-127.54977665712066       310.45920733703633       -145.00000000000006      0.4383095053195061
-155.99999999999994       258                      -144.99999999999997      0.4227403375992419
-157.99999999999997       260                      -144.99999999999997      0.42274033756035123
-156.49413840342984       256.9712721803753        -141.60963761342296      0.4384691988173259
-154.95950544748484       262.04899164308415       -144.99999999999997      0.4418917661544114
-159.54138599444425       256.4487088464145        -144.99999999999997      0.42274033738814765
-143.4466526853475        291.3749703647239        -142.10669619877035      0.43699100192261625
-157.4188000901589        288.2370067281157        -138.21201072267226      0.40910068678593003
-159.8076334650993        287.8099413762862        -144.99999999999997      0.3851788073534328
-154.96222363064896       289.486404557322         -141.3926517893468       0.40785307664778614
-163.55156171214085       285.4572455242132        -135.93750000000003      0.40163120939905406
-165.16687066495197       281.4287860796268        -140.71729298701962      0.3988950897462182
-140.20430912059226       287.81712926050875       -145.00000000000006      0.43830950646152816
-136.76624781583865       284                      -145.00000000000006      0.4383095067699327
-141.45536289264746       286.6472754044766        -139.73712672762875      0.44553774595076784
-149.2295914915791        291.18528991526944       -137.27341503295065      0.42810520571050814
-153.84554542936522       282.07030881154384       -137.04590410810968      0.4282187478954019
-142.12938493525021       281.6392841913165        -138.47392837726758      0.4530487563573207
-147.98741057992325       282.87713068009117       -137.20571418863378      0.4411333360534107
-144                      258                      -144.99999999999997      0.498231498612264
-141.99999999999994       260                      -144.99999999999997      0.4982314985766846
-141.27531577255436       256.25742834505013       -141.0714942604033       0.49073851958086273
-140.19371883221362       256.1531613405894        -144.99999999999997      0.4982314991187024
-146.95631751873285       261.37429131720717       -140.7990533876258       0.46994753921519056
-146.28302184744152       261.16975142117184       -144.99999999999997      0.47341108601856086
-126.00000000000003       284                      -145.00000000000006      0.4383095071932302
-124.00000000000003       286.00000000000017       -145.00000000000006      0.43830950720179473
-128.17215688058565       288.18245722388343       -145.00000000000006      0.4383095067371264
-127.2283450250952        283.46337012446037       -140.18228700774267      0.4643604452029156
-121.33156821331181       281.73830204329363       -144.99999999999997      0.46902616696109095
-152.0025974704704        308.3499242396668        -138.32684868029213      0.403375066572229
-174                      229.99999999999997       -144.99999999999997      0.42274033807676215
