ip electrode_mesh_file pos_x pos_y pos_z rotation_x rotation_y rotation_z waveform
0 stimxmesh.csv 75 250.0 0. 0. 0. 0. waveform0.csv
0 stimxmesh.csv -107 250.0 0. 0. 0. 0. waveform0.csv
