ip electrode_mesh_file pos_x pos_y pos_z rotation_x rotation_y rotation_z waveform
0 stimxmesh.csv -15. 250. 0. 0. 0. 0. waveform0.csv
0 stimxmesh.csv 135. 250. 150. 0. 0. 0. waveform0.csv
