node_type_id model_processing dynamics_params population pop_name model_type morphology model_template location ei
473020156 aibs_perisomatic 473020156_fit.json v1 e4Rorb biophysical Rorb-IRES2-Cre-D_Ai14-181710.05.02.01_491771275_m.swc ctdb:Biophys1.hoc VisL4 e
476616076 aibs_perisomatic 476616076_fit.json v1 e4Rorb biophysical Rorb-IRES2-Cre-D_Ai14-188712.05.02.01_495889950_m.swc ctdb:Biophys1.hoc VisL4 e
479179020 aibs_perisomatic 479179020_fit.json v1 e4Rorb biophysical Rorb-IRES2-Cre-D_Ai14-194017.03.01.01_491770945_m.swc ctdb:Biophys1.hoc VisL4 e
480087928 aibs_perisomatic 480087928_fit.json v1 e4Rorb biophysical Rorb-IRES2-Cre-D_Ai14-197330.06.01.01_491770970_m.swc ctdb:Biophys1.hoc VisL4 e
480124551 aibs_perisomatic 480124551_fit.json v1 e4Rorb biophysical Rorb-IRES2-Cre-D_Ai14-197352.06.01.01_491253869_m.swc ctdb:Biophys1.hoc VisL4 e
484679812 aibs_perisomatic 484679812_fit.json v1 e4Rorb biophysical Rorb-IRES2-Cre-D_Ai14-201967.03.01.01_496123870_m.swc ctdb:Biophys1.hoc VisL4 e
485836906 aibs_perisomatic 485836906_fit.json v1 e4Rorb biophysical Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc ctdb:Biophys1.hoc VisL4 e
486502127 aibs_perisomatic 486502127_fit.json v1 e4Rorb biophysical Rorb-IRES2-Cre-D_Ai14-206927.04.01.01_496253700_m.swc ctdb:Biophys1.hoc VisL4 e
100000104  e4Scnn1a_avg_lif.json v1 LIFe4Scnn1a point_process  nrn:IntFire1 VisL4 e
314900022 aibs_perisomatic 314900022_fit.json v1 e4Scnn1a biophysical Scnn1a-Tg3-Cre_Ai14-168093.03.01.01_491770152_m.swc ctdb:Biophys1.hoc VisL4 e
348592897 aibs_perisomatic 348592897_fit.json v1 e4Scnn1a biophysical Scnn1a-Tg2-Cre_Ai14-176958.04.01.01_491771013_m.swc ctdb:Biophys1.hoc VisL4 e
395830185 aibs_perisomatic 395830185_fit.json v1 e4Scnn1a biophysical Scnn1a-Tg3-Cre_Ai14-177300.01.02.01_491771068_m.swc ctdb:Biophys1.hoc VisL4 e
469798159 aibs_perisomatic 469798159_fit.json v1 e4Scnn1a biophysical Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc ctdb:Biophys1.hoc VisL4 e
476126528 aibs_perisomatic 476126528_fit.json v1 e4Scnn1a biophysical Scnn1a-Tg3-Cre_Ai14-187849.05.02.01_491119823_m.swc ctdb:Biophys1.hoc VisL4 e
