edge_type_id target_query source_query weight_function dynamics_params target_sections syn_weight delay distance_range model_template weight_sigma
143 node_type_id=='471143169' pop_name=='e5Rbp4' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.00105928050119 1.5 "[0.0, 1e+20]" exp2syn 30.0
144 node_type_id=='471758398' pop_name=='e5Rbp4' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.00148324896992 1.5 "[0.0, 1e+20]" exp2syn 30.0
145 node_type_id=='471767045' pop_name=='e5Rbp4' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.0018948621084400002 1.5 "[0.0, 1e+20]" exp2syn 30.0
146 node_type_id=='485574832' pop_name=='e5Rbp4' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.00199590108844 1.5 "[0.0, 1e+20]" exp2syn 30.0
147 node_type_id=='485835055' pop_name=='e5Rbp4' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.0015455955545699998 1.5 "[0.0, 1e+20]" exp2syn 30.0
148 node_type_id=='485880739' pop_name=='e5Rbp4' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.0018438204056700001 1.5 "[0.0, 1e+20]" exp2syn 30.0
149 node_type_id=='486052980' pop_name=='e5Rbp4' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.0021445250363 1.5 "[0.0, 1e+20]" exp2syn 30.0
150 node_type_id=='486110216' pop_name=='e5Rbp4' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.0016442408136899999 1.5 "[0.0, 1e+20]" exp2syn 30.0
151 node_type_id=='487664663' pop_name=='e5Rbp4' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.00213561632747 1.5 "[0.0, 1e+20]" exp2syn 30.0
152 node_type_id=='471129934' pop_name=='e23Cux2' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.0012266923638099999 1.8 "[0.0, 1e+20]" exp2syn 30.0
153 node_type_id=='471143169' pop_name=='e23Cux2' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000522398673419 1.8 "[0.0, 1e+20]" exp2syn 30.0
154 node_type_id=='471758398' pop_name=='e23Cux2' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.0007314280549 1.8 "[0.0, 1e+20]" exp2syn 30.0
155 node_type_id=='471767045' pop_name=='e23Cux2' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000934646421982 1.8 "[0.0, 1e+20]" exp2syn 30.0
156 node_type_id=='485574832' pop_name=='e23Cux2' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.00098441798224 1.8 "[0.0, 1e+20]" exp2syn 30.0
157 node_type_id=='485835055' pop_name=='e23Cux2' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.0007623689847100001 1.8 "[0.0, 1e+20]" exp2syn 30.0
158 node_type_id=='485880739' pop_name=='e23Cux2' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000909396317645 1.8 "[0.0, 1e+20]" exp2syn 30.0
159 node_type_id=='486052980' pop_name=='e23Cux2' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.00105769394567 1.8 "[0.0, 1e+20]" exp2syn 30.0
160 node_type_id=='486110216' pop_name=='e23Cux2' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000810966625951 1.8 "[0.0, 1e+20]" exp2syn 30.0
161 node_type_id=='487664663' pop_name=='e23Cux2' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.00105293410472 1.8 "[0.0, 1e+20]" exp2syn 30.0
162 node_type_id=='471129934' pop_name=='i6Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.0005409114246649999 0.9 "[0.0, 50.0]" exp2syn 90.0
163 node_type_id=='471143169' pop_name=='i6Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 6.98717883595e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
164 node_type_id=='471758398' pop_name=='i6Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.00031339589704 0.9 "[0.0, 50.0]" exp2syn 90.0
165 node_type_id=='471767045' pop_name=='i6Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.00016840459746299998 0.9 "[0.0, 50.0]" exp2syn 90.0
166 node_type_id=='485574832' pop_name=='i6Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.000153546341004 0.9 "[0.0, 50.0]" exp2syn 90.0
167 node_type_id=='485835055' pop_name=='i6Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 9.273891577200001e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
168 node_type_id=='485880739' pop_name=='i6Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.000156540181299 0.9 "[0.0, 50.0]" exp2syn 90.0
169 node_type_id=='486052980' pop_name=='i6Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.00029428934158 0.9 "[0.0, 50.0]" exp2syn 90.0
170 node_type_id=='486110216' pop_name=='i6Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.000736681634855 0.9 "[0.0, 50.0]" exp2syn 90.0
171 node_type_id=='487664663' pop_name=='i6Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.00015111610268 0.9 "[0.0, 50.0]" exp2syn 90.0
172 node_type_id=='471129934' pop_name=='e4Scnn1a' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.00103795967626 1.5 "[0.0, 1e+20]" exp2syn 30.0
173 node_type_id=='471143169' pop_name=='e4Scnn1a' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.00044308964526699996 1.5 "[0.0, 1e+20]" exp2syn 30.0
174 node_type_id=='471758398' pop_name=='e4Scnn1a' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.0006198463559269999 1.5 "[0.0, 1e+20]" exp2syn 30.0
175 node_type_id=='471767045' pop_name=='e4Scnn1a' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000794301297115 1.5 "[0.0, 1e+20]" exp2syn 30.0
176 node_type_id=='485574832' pop_name=='e4Scnn1a' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000835992146815 1.5 "[0.0, 1e+20]" exp2syn 30.0
177 node_type_id=='485835055' pop_name=='e4Scnn1a' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000647903145051 1.5 "[0.0, 1e+20]" exp2syn 30.0
178 node_type_id=='485880739' pop_name=='e4Scnn1a' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.0007721614098510001 1.5 "[0.0, 1e+20]" exp2syn 30.0
179 node_type_id=='486052980' pop_name=='e4Scnn1a' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000897951825332 1.5 "[0.0, 1e+20]" exp2syn 30.0
180 node_type_id=='486110216' pop_name=='e4Scnn1a' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000688643322757 1.5 "[0.0, 1e+20]" exp2syn 30.0
181 node_type_id=='487664663' pop_name=='e4Scnn1a' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000890493189227 1.5 "[0.0, 1e+20]" exp2syn 30.0
182 node_type_id=='471129934' pop_name=='i23Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 7.838888615299999e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
183 node_type_id=='471143169' pop_name=='i23Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 1.11237593421e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
184 node_type_id=='471758398' pop_name=='i23Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 4.70591699995e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
185 node_type_id=='471767045' pop_name=='i23Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 2.68385960753e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
186 node_type_id=='485574832' pop_name=='i23Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 2.4373507985e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
187 node_type_id=='485835055' pop_name=='i23Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 1.49208102125e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
188 node_type_id=='485880739' pop_name=='i23Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 2.48387417058e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
189 node_type_id=='486052980' pop_name=='i23Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 4.55150733334e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
190 node_type_id=='486110216' pop_name=='i23Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.000103239822184 0.9 "[0.0, 50.0]" exp2syn 90.0
191 node_type_id=='487664663' pop_name=='i23Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 2.33257923903e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
192 node_type_id=='471129934' pop_name=='e4other' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.00103795967626 1.5 "[0.0, 1e+20]" exp2syn 30.0
193 node_type_id=='471143169' pop_name=='e4other' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.00044308964526699996 1.5 "[0.0, 1e+20]" exp2syn 30.0
